题目,选项,答案,解析,题型,难度,知识点
Culture is not biologically inherited but rather the outcome of people's creativity which is based on ideas， values and common sharing.,True|False,1,文化并非从生物遗传而来。文化是人类创造的结果，以理念、价值观和共享为基础。,判断题,易,基本概念|文化|文化的特点
Culture is isolated and covers such areas as beliefs， behaviors and customs.,True|False,0,文化并不是相互独立的，它所涵盖的范围并不局限于人们的观念、行为和习俗。,判断题,易,基本概念|文化|文化的范畴
Culture can be seen as shared knowledge， what people need to know in order to act appropriately in a given culture.,True|False,1,无,判断题,易,基本概念|文化|文化的特点
U.S. Americans tend to choose strategies that are group oriented.,True|False,0,无,判断题,易,文化价值观|个人主义|集体主义，美国文化|商务文化与惯例，跨文化商务谈判|北美各国谈判风格
Women are frequent participants on a Japanese negotiation team.,True|False,0,无,判断题,易,文化价值观|阳刚性与阴柔性，日本文化|文化价值观
In India women enjoy the same privilege as men.,True|False,0,无,判断题,易,文化价值观|阳刚性和阴柔性，印度文化|文化价值观
German businessmen have serious principles about interpersonal relationship and they focus on personal credit.,True|False,1,无,判断题,易,文化价值观|长期取向和短期取向，德国文化|文化价值观
Japanese negotiators tend to put more emphasis on the literal meanings of words used in negotiation and less emphasis on the relationships established before negotiating begins.,True|False,0,无,判断题,易,文化价值观|长期取向和短期取向，日本文化|文化价值观，日本文化|谈判风格，跨文化商务谈判|亚洲各国谈判风格
The Japanese language and culture are examples of high-context communication.,True|False,1,无,判断题,易,文化模式|高语境和低语境文化，日本文化|文化价值观，日本文化|沟通风格
In Germany， work and family life are not usually kept separate， so family life can be talked freely in the business context.,True|False,0,在德国，工作与私人生活是相互独立的，不宜在商务场合谈论私人话题。,判断题,易,言语交际|谈话禁忌|各国谈话禁忌，德国文化|文化价值观，德国文化|谈话禁忌与话题，德国文化|商务文化与惯例，跨文化商务谈判|谈判开场方式及谈话禁忌
In India， topics about India's military spending and specific politics should be avoided.,True|False,1,在印度不可讨论军费和政治话题。,判断题,易,言语交际|谈话禁忌|各国谈话禁忌，印度文化|谈话禁忌与话题
Politics is an appropriate topic for verbal dueling in Germany.,True|False,1,无,判断题,易,言语交际|谈话禁忌|各国谈话禁忌，德国文化|谈话禁忌与话题
To break the ice， you can talk about what you have experienced or discovered in Japan with the Japanese people.,True|False,1,在日本，谈论你的所见所闻是非常好的话题。,判断题,易,言语交际|谈话禁忌|各国谈话禁忌，日本文化|谈话禁忌与话题，跨文化商务谈判|谈判开场方式及谈话禁忌
Any references to the World War II or Nazis should be done with care or avoided altogether in Germany.,True|False,1,在德国，最好避免讨论与“二战”、“纳粹”有关的话题。,判断题,易,言语交际|谈话禁忌|各国谈话禁忌，德国文化|谈话禁忌与话题
The Japanese try to present negative news in a positive manner， a quality that might cause counterparts from other countries to feel that Japanese people are deceitful.,True|False,1,日本人在商务沟通中往往使用正面口吻来传达负面消息。这一点容易让另一方觉得日本人虚伪。,判断题,中,言语交际|书面交际|常见消息类型，言语交际|书面交际|直接与间接的书面交际，言语交际|书面交际|不同文化的书面交际风格，文化价值观|高语境和低语境文化，日本文化|文化价值观，日本文化|沟通风格|言语沟通
The writing style of U.S. letters is more formal than most foreign correspondents.,True|False,0,无,判断题,易,言语交际|书面交际|不同文化的书面交际风格，美国文化|沟通风格|言语沟通
Salutations of German letters are more formal than in the United States.,True|False,1,无,判断题,易,言语交际|书面交际|不同文化的书面交际风格，美国文化|沟通风格|言语沟通，德国文化|沟通风格|言语沟通
When conversing with the Japanese， it is best to keep steady eye contact throughout the dialogue.,True|False,0,无,判断题,易,非言语交际|体态语|眼神交流，非言语交际|体态语|各国的体态语，日本文化|文化价值观，日本文化|沟通风格|非言语沟通
